Gbutkus,Female,8345.31,0,0,1230.98,0,0,20,2515
samurray0630,Male,5034.7,0,286.28,952.98,0,0,23,818
RohannAsfaw,Male,1759.66,0,0,0,0,0,18,264
WShafer,Male,12652.42,0,252.85,873.85,0,0,22,1223
ethanzinthetrap,Male,5993.89,119.55,264.36,910.28,0,0,20,1092
Dantherunningman,Male,11104.35,127.0,275.0,950.0,4658.0,0,23,1780
epashe,Male,17392.35,0,249.0,911.0,3813.0,8226.0,29,1979
RyunAnderson,Male,7215.21,120.58,261.36,899.34,0,0,20,694
rrwoods,Male,5017.0,0,0,1675.0,0,0,63,2900
Jerrytherunner,Male,2397.95,128.0,271.57,955.0,0,0,19,788
AndreaGeorge,Female,3636.74,0,0,0,0,0,21,1408
mgnevs,Female,1782.0,153.71,350.99,1302.06,0,0,18,320
mitchellthomas10,Male,2779.46,0,0,0,0,0,31,658
rachaelporter,Female,38.62,0,0,0,0,0,21,50
GraceNolan1,Female,1483.75,0,349.0,1260.7,0,0,18,315
brs11310,Male,3826.54,0,276.61,937.39,0,0,21,524
mcdonaldg1,Female,1505.26,0,0,0,0,0,22,286
JTHOMAS,Female,7820.59,0,0,0,8160.0,17100.0,48,2487
mcpowers25,Female,6445.58,0,347.0,1174.0,0,0,25,2846
nathinnes,Female,6909.64,0,322.69,1128.0,0,12461.0,23,2038
ilikecookiedough,Male,22722.84,117.74000000000001,248.08,839.1,3898.0,0,27,3703
ChristinaS,Female,4035.27,0,303.17,1053.0,0,0,19,663
JoelRnz,Male,1734.78,0,0,0,0,0,19,291
Jmullenberg,Male,34.79,0,0,0,0,0,17,36
rmcdowell,Male,24333.72,0,0,922.0,4666.0,10078.0,61,0
rdearie17,Male,3898.45,122.8,258.04,0,0,0,19,673
elleryh,Female,4094.44,0,332.0,0,0,0,21,1438
NickPacelli,Male,796.39,115.28,263.41,0,0,0,19,153
Zebby,Male,6117.55,0,245.7,849.0,0,0,20,1013
ChrisArmstrong,Male,9171.14,0,0,0,0,0,23,1717
JennaFarrell,Female,2640.03,0,0,1115.0,0,0,20,666
gregpalmer10,Male,133.1,0,0,0,0,0,23,58
kaggsy69,Female,758.41,0,0,0,0,0,43,506
TrailToddlers,Male,3091.35,0,0,0,0,0,34,496
maryclareleonard,Female,2428.97,0,0,0,0,0,19,303
Makarewicz,Male,477.27,0,0,0,0,0,15,301
mikeallen12,Male,1455.0,116.47999999999999,266.85,0,0,0,18,306
