nuagepc,Male,5606.61,0,0,0,0,0,39,779
parrell26,Female,4105.65,0,327.0,0,0,0,0,1410
Key_Taulbee,Male,668.0,132.99,309.96,1055.0,0,0,19,99
Mathemagician,Male,33720.47,128.69,268.7,905.09,4041.0,8678.0,32,4342
runsofwrath,Female,381.94,0,0,0,0,0,23,49
Jesspascoe,Female,3995.18,0,0,0,0,0,21,692
aiabilly,Male,11924.33,0,0,1041.0,0,0,47,3464
Lynnie1972,Female,1737.58,0,0,0,0,0,45,509
TeresaB,Female,1826.91,0,0,0,0,0,54,509
runninglfe,Male,2629.88,0,0,1271.0,5824.0,11351.0,39,782
wrial12,Male,24507.16,126.75,268.44,909.0,0,0,28,2556
carlstone21,Male,480.51,0,0,0,0,0,55,1226
fifths12,Male,4713.67,0,356.0,1151.0,5080.0,0,0,1031
Lcummings,Female,7965.43,0,304.0,1060.0,0,0,27,3580
vanden.eykel,Female,6037.63,0,0,1636.0,7924.0,0,33,2575
Jaschools,Male,2406.78,0,0,0,0,0,52,849
LazyLegs,Male,6318.28,0,0,1052.0,5133.0,10252.0,36,3779
mbsellers06,Male,2764.96,0,0,0,0,0,34,2808
corydonovan,Male,19798.29,0,0,1113.0,5281.0,11514.0,0,1778
clc,Male,22672.06,117.84,266.7,959.5,4571.0,9822.0,32,3805
barold419,Male,4968.38,0,0,0,6430.0,14431.0,36,3060
JStroff,Male,20412.65,0,0,949.0,4310.0,9458.0,32,2823
hosborn,Female,13894.55,2.2,290.52,1006.0,4991.0,0,27,2861
duchesspandora,Female,2131.7,0,0,0,0,0,42,843
RyanODonnell,Male,3678.26,0,0,0,0,0,20,1008
JoeTheShow,Male,6964.62,117.99000000000001,254.29,904.88,4433.0,0,28,3949
mag249,Male,21350.07,0,298.5,1026.0,4702.0,9952.0,50,3990
danihartjes,Female,2682.6,0,0,0,0,0,24,883
dkevans2,Male,9802.45,127.0,268.43,922.77,4496.0,10236.0,23,1568
PTDXC,Male,28249.32,0,272.48,960.0,4540.0,9833.0,37,4612
cltrick,Female,5018.33,0,0,0,0,0,54,1522
kasabianxc,Female,32339.27,0,304.0,1024.0,4949.0,10637.0,0,4136
mhoffert,Female,6105.73,0,0,0,0,0,35,630
kenr1028,Male,16572.6,0,278.93,944.0,4440.0,9468.0,43,2387
runboe,Male,6199.87,0,0,0,0,0,40,641
runrgin,Female,8548.2,0,0,0,0,0,56,3375
timfitzxc,Male,17646.75,0,279.0,1640.0,4655.0,10346.0,28,3388
akilmer,Male,11567.29,0,0,958.0,0,10939.0,28,3600
jdejoy,Male,3241.25,0,0,1584.0,7169.0,0,52,1240
Calesse,Female,21243.87,1240.0,338.04,1093.0,5212.0,11433.0,27,3205
Jewbearpig,Male,14632.69,116.3,261.77,944.31,4859.0,0,23,1399
Lace-Dog,Male,31720.84,0,263.0,900.0,4177.0,8962.0,33,3610
steveboyd,Male,475.28,0,0,0,0,0,33,42
Dubba3281,Male,6606.64,0,0,0,0,0,30,2614
nikhaas,Female,4707.74,117.93,256.77,0,0,0,0,0
katemcmahan,Female,3162.23,0,0,0,0,0,17,1073
alparks2s,Female,5822.11,0,0,0,0,0,0,1393
Davis,Male,7435.0,0,0,0,5757.0,0,44,1027
jordandoore,Female,5956.1,143.0,319.0,0,0,0,21,859
gwdameron,Male,1388.59,0,0,1360.0,0,0,49,484
LisaLyn,Female,6604.0,0,0,0,0,0,0,2967
jpenn,Male,7988.21,166.0,352.0,1192.0,6226.0,14976.0,42,3761
davbro,Male,15364.4,0,0,1213.0,0,0,52,3114
Beckybarber,Female,1190.79,0,0,0,0,0,39,508
setkin,Male,3342.0,0,0,1215.0,0,0,25,2179
Old_Man_Mahar,Male,12004.46,124.0,278.64,920.0,0,0,27,3232
jlbryn2,Male,1571.59,119.0,269.55,0,0,0,18,421
annabanana4,Female,9253.68,142.0,315.07,1112.0,5447.0,11844.0,26,4046
mbuenger,Male,3525.3,0,0,1215.0,6318.0,15815.0,27,2133
ryan21,Male,10234.25,0,0,930.0,4123.0,9037.0,0,2368
gkline97,Male,7704.7,124.4,275.0,958.75,0,0,21,959
hannahgates2014,Female,7753.1,0,371.0,0,7080.0,0,22,2148
theweve,Male,4542.13,0,283.64,1058.19,4546.0,10766.0,0,0
hollyannerees,Female,7618.78,0,0,0,0,0,24,576
AdrienneMarg,Female,2145.58,0,0,0,0,0,20,299
rylanhincher,Male,7211.62,0,0,970.0,4382.0,11563.0,20,860
straeger,Female,12002.81,0,0,1205.0,5377.0,11782.0,26,2369
lfrierson,Female,1090.77,0,0,0,0,0,22,137
pakullerud,Male,457.96,0,0,0,0,0,41,1593
tracymorgan,Female,1699.85,0,0,0,0,0,19,1395
KHarman,Female,1063.78,0,0,0,0,0,54,657
mlist,Male,6763.63,0,271.08,900.0,0,0,25,1854
Chris_DeForest,Male,944.76,135.0,292.69,0,0,0,15,302
eliseliseliselise,Female,4552.46,0,371.46,1190.43,7017.0,0,0,0
Jack.Spilman,Male,3515.17,110.35,255.28,943.0,4482.0,0,27,962
elisagemart,Male,1374.5,136.0,299.73,1047.0,0,0,18,407
jemcbride2019,Female,2505.43,194.0,426.6,1501.0,0,0,21,708
JWoodrow24,Male,8920.6,125.7,271.06,924.0,0,0,19,1409
gbednar19,Male,1751.5,0,283.0,0,0,0,17,419
redXC824,Female,31786.33,147.0,303.35,1010.0,4520.0,9558.0,32,3800
T$,Female,4375.69,0,605.0,1201.0,5321.0,0,25,702
JukeySmoot,Male,11158.55,0,0,905.0,0,8798.0,28,1664
jklu1956,Female,6240.22,0,0,0,6987.0,16631.0,61,0
DailyRun,Male,32591.54,0,312.0,1033.0,4925.0,12180.0,28,3926
sean_oleprechaun,Male,30231.05,126.0,263.62,900.09,4310.0,0,26,2563
EmilyHenson,Female,4063.67,146.0,315.36,0,0,0,20,1049
jackschlabig,Male,18403.46,0,263.04,880.0,4149.0,0,25,2366
theTruth,Male,5565.38,0,278.0,915.0,0,0,23,1410
pigmoth,Male,1697.0,0,0,0,0,0,33,219
tankmann,Male,14856.61,120.71,269.76,999.63,0,0,24,0
SophieDeFreitas,Female,1230.93,0,0,0,0,0,17,590
